title	is_fake
  москвич    владимир    клутину    прийти    счёт    вмешательство    американский    выбор  	1
  агент    кокорин    назвать    езда    встречка    житейский    история  	0
  госдума    рассмотреть    возможность    введение    секретный    стать    уголовный    кодекс  	1
  фас    заблокировать    поставка    скоростной    трамвай    москва  	0
  против    навальный    завести    дело    недоносительство    волков  	1
  российский    студент    запретить    учиться    рубеж  	1
  путин    писать    книга    история    украина  	1
  россиянин    обхитрить    рост    цена  	0
  звезда    ворониных    раскрыть    подробность    свой    состояние  	0
  microsoft    объявить    дата    выход    очко    дополнить    реальность    hololens  	0
  марат    хуснуллин    призвать    прописать    закон    понятие    многонациональный    дом  	1
  проведение    профилактический    работа    сентябрь    россия    отключить    интернет  	1
  россия    ввести    обязательный    техосмотр    садовый    инвентарь  	1
  топилин    провозгласить    окончание    зарплатный    кризис    россия  	0
  режиссёр    алексей    герман    наградить    орден  	0
  олаф    шольц    дед    рассказывать    вкусные    украина    кура    молоко    яйцо  	1
  беглов    петербург    основать    наш    эра    полтора    тысяча    год    старший    москва  	1
  случай    дефицит    препарат    эпиваккорона    храм    рпц    провести    вакцинация    святой    вода  	1
  энтони    андерсон    стать    молодой    папаша  	0
  люксембург    выслать    страна    собака    российский    дипломат  	1
  ubisoft    анонсировала    новый    часть    игра    ghost    recon  	0
  байконур    сломать    малайзийский    спутник  	0
  покемон    одолеть    killzone    bulletstorm    британский    чарт  	0
  израиль    возбудить    уголовный    дело    против    виктор    шендерович    реабилитация    нацизм  	1
  житель    село    париж    признать    иностранный    агент  	1
  противник    телевизор    создать    абсолютный    оружие    против  	0
  франция    заложить    первый    мистраль    россия  	0
  ольга    бузов    удостоить    звание    заслуженной    артистка    днр  	1
  борис    джонсон    пожаловаться    двойник    которых    регистрировать    выбор    лейборист  	1
  американский    институт    кинематография    выбрать    хороший    фильм  	0
  ольгино    объяснить    большой    количество    комментарий    сообщение    володин    qr    код  	1
  седьмой    книга    гарри    поттер    побить    рекорд    продажа  	0
  nexter    gtd    будут    вместе    строить    бронетранспортёр    испания  	0
  правительство    рф    заставить    компания    снизить    бонус    ради    господдержка  	0
  майкл    бэй    извиниться    кадр    гибель    пилот    континууме  	0
  metallica    сыграть    юбилей    зал    слава    рок    ролл  	0
  анатолий    вассерман    рассказать    попытка    уг    сорвать    избрание    госдума  	1
  физик    взвесить    антипротон    атомкулах  	0
  bloomberg    сообщить    намерение    россия    отложить    размещение    евробондов  	0
  procter    gamble    перевести    часть    бизнес    сингапур  	0
  инженер    cisco    systems    создать    сорокаядерный    процессор  	0
  учёный    отказаться    классический    гипотеза    заселение    америка  	0
  правительство    предложить    объединить    татарстан    башкортостан  	1
  онлайн    свадьбах    год    россия    зафиксировать    случай    драка  	1
  валерий    рашкин    лось    подбросить  	1
  январь    сервис    google    drive    запретить    хранить    документ    русский    язык  	1
  месси    почувствовать    плохо    самолёт  	0
  зеленский    назвать    назначение    азаров    пост    премьер    министр    украина    новогодний    шутка  	1
  интерес    газпромбанк    защитить    американский    сенатор  	0
  алиса    теплякова    планировать    выйти    пенсия    год  	1
  fox    начать    работа    экранизация    вольтрона  	0
  рпц    призвать    предать    анафема    илона    маска    обвал    биткоина  	1
  сырьевой    валюта    оказаться    устойчивый    падение    цена    нефть    металл  	0
  российский    велогонщик    попасться    допинг  	0
  привиться    коронавирус    россиянин    добавить    неделя    отпуск  	1
  центр    ереван    снести    незаконный    палаточный    рынок  	1
